id,Dénomination,Bureau,Année,Type,Styles,Saison,Météo,Journée,Lumière,Composition,Affectations,Pays,Nom de fichier (avec extension)
735,Kast Kaeppeli_Doppelkindergarten_Erlach,Nightnurse,2016,Extérieur,Illustration,Automne,Dégagé,Matin,Diffuse,Frontal,École,Suisse,Nightnurse_KastKaeppeli_Doppelkindergarten_Erlach_2016.jpg
736,Kast Kaeppeli_Mehrfamilienhaus_Zwyssingstrasse_Bern,Nightnurse,2011,Extérieur,Illustration,Automne,Dégagé,Matin,Diffuse,Central,Logement,Suisse,Nightnurse_KastKaeppeli_Mehrfamilienhaus_Zwyssingstrasse_Bern_2011.jpg
737,Kast Kaeppeli_Schule Hessgut_Koeniz,Nightnurse,2015,Extérieur,Illustration,Automne,Dégagé,Matin,Diffuse,Central,École,Suisse,Nightnurse_KastKaeppeli_SchuleHessgut_Koeniz_2015.jpg
738,Kast Kaeppeli_Schulhaus_Wyssloch_Bern,Nightnurse,2018,Extérieur,Illustration,,Dégagé,,Diffuse,,École,Suisse,Nightnurse_KastKaeppeli_Schulhaus_Wyssloch_Bern_2018_01.jpg
739,Kast Kaeppeli_Schulhaus_Wyssloch_Bern,Nightnurse,2018,Extérieur,Illustration,Printemps,Dégagé,,Diffuse,,École,Suisse,Nightnurse_KastKaeppeli_Schulhaus_Wyssloch_Bern_2018_02.jpg
740,Kast Kaeppeli_Spitaltrakt_Schuetzengasse_Riehen,Nightnurse,2016,Extérieur,Illustration,Printemps,Dégagé,Matin,Direct,,Public,Suisse,Nightnurse_KastKaeppeli_Spitaltrakt_Schuetzengasse_Riehen_2016.jpg
741,Kast Kaeppeli_Tram3_Burgfelden_Basel,Nightnurse,2015,Extérieur,Illustration,Hiver,Dégagé,Matin,Diffuse,Frontal,Public,Suisse,Nightnurse_KastKaeppeli_Tram3_Burgfelden_Basel_2015.jpg
742,Kast Kaeppeli_Volksschule_Kleefeld_Bern,Nightnurse,2015,Extérieur,Illustration,,Nuageux,Matin,Direct,,École,Suisse,Nightnurse_KastKaeppeli_Volksschule_Kleefeld_Bern_2015.jpg
743,Kast Kaeppeli_Volksschule_Spitalacker_Bern,Nightnurse,2016,Extérieur,Illustration,,Nuageux,Matin,Spot,,École,Suisse,Nightnurse_KastKaeppeli_Volksschule_Spitalacker_Bern_2016_01.jpg
744,Kast Kaeppeli_Volksschule_Spitalacker_Bern,Nightnurse,2016,Intérieur,Illustration,,,,Direct,,École,Suisse,Nightnurse_KastKaeppeli_Volksschule_Spitalacker_Bern_2016_02.jpg
745,Kast Kaeppeli_Wohnunhsbau_Aarau,Nightnurse,2014,Extérieur,Illustration,Hiver,Nuageux,,Diffuse,,Logement,Suisse,Nightnurse_KastKaeppeli_Wohnunhsbau_Aarau_2014.jpg
746,KathrinSimmen_Kinderheim Pilgerbrunnen_Zurich,Nightnurse,,Extérieur,Illustration,Été,Dégagé,,Direct,,Logement,Suisse,Nightnurse_KathrinSimmen_KinderheimPilgerbrunnen_Zurich_01.jpg
747,Kit Archi_EMS_Rosenthal_Wald,Nightnurse,2019,Intérieur,Réaliste,,,,Direct,,EMS,Suisse,Nightnurse_KitArchi_EMS_Rosenthal_Wald_2019_01.jpg
748,Kit Archi_EMS_Rosenthal_Wald,Nightnurse,2019,Extérieur,Réaliste,,,,Direct,,EMS,Suisse,Nightnurse_KitArchi_EMS_Rosenthal_Wald_2019_02.jpg
749,Kit Archi_EMS_Rosenthal_Wald,Nightnurse,2019,Intérieur,Réaliste,,,,Diffuse,,EMS,Suisse,Nightnurse_KitArchi_EMS_Rosenthal_Wald_2019_03.jpg
750,Kit Archi_EMS_Rosenthal_Wald,Nightnurse,2019,Intérieur,Réaliste,,,,Diffuse,,EMS,Suisse,Nightnurse_KitArchi_EMS_Rosenthal_Wald_2019_04.jpg
751,Kit Archi_EMS_Rosenthal_Wald,Nightnurse,2019,Intérieur,Réaliste,,,,Diffuse,,EMS,Suisse,Nightnurse_KitArchi_EMS_Rosenthal_Wald_2019_05.jpg
752,Kohn Pedersen Fox_Dream Center Cultural_Shangai,Nightnurse,2014,Extérieur,Illustration,,Dégagé,Soir,Artificielle,Central,Culture,,Nightnurse_KohnPedersenFox_DreamCenter_Shangai_2014_02.jpg
753,Kohn Pedersen Fox_Dream Center Cultural_Shangai,Nightnurse,2014,Extérieur,Illustration,,Dégagé,Milieu journée,Diffuse,Drone,Culture,,Nightnurse_KohnPedersenFox_DreamCenterCultural_Shangai_2014_01.jpg
754,Kollektiv Marudo_Buchwiesen Wohnhungen_Seebach_Zurich,Nightnurse,2019,Intérieur,Illustration,Été,Dégagé,Matin,Diffuse,,Logement,Suisse,Nightnurse_KollektivMarudo_BuchwiesenWohnhungen_Seebach_Zurich_2019_01.jpg
755,Kollektiv Marudo_Buchwiesen Wohnhungen_Seebach_Zurich,Nightnurse,2019,Extérieur,Illustration,Été,Dégagé,Matin,Direct,,Logement,Suisse,Nightnurse_KollektivMarudo_BuchwiesenWohnhungen_Seebach_Zurich_2019_02.jpg
756,Krebs Herde_landschaftsarchi_Technorama_Winterthur,Nightnurse,2015,Extérieur,Illustration,Été,Dégagé,Milieu journée,Diffuse,,Culture,Suisse,Nightnurse_KrebsHerde_landschaftsarchi_Technorama_Winterthur_2015_01.jpg
757,Krebs Herde_landschaftsarchi_Technorama_Winterthur,Nightnurse,2015,Extérieur,Illustration,Été,Dégagé,Milieu journée,Diffuse,,Culture,Suisse,Nightnurse_KrebsHerde_landschaftsarchi_Technorama_Winterthur_2015_02.jpg
